cluster,y_k=2,s_k=2
0,-1.0,-0.24735992268629492
0,-1.0,-0.49591689019175533
0,-1.0,-0.3823239732007628
0,-1.0,-0.16099370338174085
0,-1.0,-0.14616939027916598
0,-1.0,-0.21126224643540872
0,-1.0,-0.16001345169181927
0,-1.0,-0.35740647887531296
0,-1.0,-0.1650226811243745
0,-1.0,-0.3305413130356696
0,0.0,0.41838951108468025
0,0.0,0.4441630139688021
0,-1.0,-0.09300254770169487
0,-1.0,-0.14510135349014333
0,-1.0,-0.2544249153067084
0,-1.0,-0.3239672719425306
0,0.0,0.4001879407869587
0,-1.0,-0.41300270890725893
0,-1.0,-0.3141914911146797
0,-1.0,-0.16080469304707665
0,-1.0,-0.07054264306206591
0,-1.0,-0.34264873004485097
0,-1.0,-0.239513890648487
0,0.0,0.37788471298827986
0,-1.0,-0.415423284381799
0,-1.0,-0.4495381200470018
0,-1.0,-0.16606256875152842
0,0.0,0.4588243409537746
0,-1.0,-0.11452519460720868
0,-1.0,-0.4092053776875188
0,-1.0,-0.2599028791680909
0,0.0,0.4077680273908384
0,-1.0,-0.19301363732033477
0,-1.0,-0.200546355197387
0,0.0,0.39849534488034655
0,0.0,0.33532848153546696
0,-1.0,-0.11645991593009539
0,-1.0,-0.12475620977407866
0,-1.0,-0.2073501806065797
0,-1.0,-0.3695535613140849
0,0.0,0.39699762293789953
0,-1.0,-0.24575740900038714
0,-1.0,-0.5119103941177301
0,-1.0,-0.4186705924945509
0,0.0,0.3333195503363458
0,-1.0,-0.2853959538445195
0,-1.0,-0.2530595645691937
0,-1.0,-0.1932552604086383
0,-1.0,-0.23357296702499356
0,-1.0,-0.13127714322024045
0,-1.0,-0.24229592967256494
0,-1.0,-0.2764237510887299
0,-1.0,-0.21379234052713442
0,-1.0,-0.45304196955096027
0,-1.0,-0.45093397980701755
0,0.0,0.3696061496150357
0,-1.0,-0.08151109199875002
0,0.0,0.49053485131557245
0,-1.0,-0.03316641587818624
0,-1.0,-0.2982234375715791
0,-1.0,-0.18005391925176092
0,-1.0,-0.266925246557279
0,-1.0,-0.47280055260477094
0,-1.0,-0.21007359894454872
0,-1.0,-0.4938614462450314
0,-1.0,-0.1645113384147328
0,0.0,0.41074072772422693
0,-1.0,-0.2523535955331932
0,0.0,0.38466412190658966
0,-1.0,-0.0931639107266392
0,0.0,0.43313515735252134
0,-1.0,-0.2993781845353219
0,-1.0,-0.21770091068519745
0,-1.0,-0.377413766022097
0,0.0,0.42843773556221043
0,-1.0,-0.2875605385679733
0,-1.0,-0.2416253036108881
0,-1.0,-0.17680369776093952
0,-1.0,-0.4660998121657518
0,-1.0,-0.21190671815896883
0,-1.0,-0.11630552482198013
0,-1.0,-0.1028118717865299
0,-1.0,-0.19102879640344203
0,-1.0,-0.15716409675647042
0,-1.0,-0.1649710179059762
0,-1.0,-0.23966362584914952
0,-1.0,-0.40420474305854914
0,-1.0,-0.3189070707734118
0,-1.0,-0.22740743253534101
0,-1.0,-0.3530845064627889
0,-1.0,-0.25691115210402715
0,-1.0,-0.24206690268778405
0,-1.0,-0.29738948773649093
0,-1.0,-0.16957771941671287
0,-1.0,-0.14114091984676497
0,-1.0,-0.30126282487017364
0,-1.0,-0.291645054859787
0,-1.0,-0.19758063454794333
0,-1.0,-0.309740843052486
0,-1.0,-0.2846329669709942
0,-1.0,-0.1152352279792675
0,-1.0,-0.27486087254293884
0,0.0,0.47495141295173166
0,-1.0,-0.23601078744582302
0,-1.0,-0.19638026477767256
0,-1.0,-0.1729121490727961
0,-1.0,-0.2932527484967099
0,-1.0,-0.1554690152075312
0,-1.0,-0.17897169647004768
0,-1.0,-0.1811650545911004
0,-1.0,-0.22154448710295455
0,-1.0,-0.22318516717825182
0,-1.0,-0.20838636394654592
0,-1.0,-0.20871594565640053
0,-1.0,-0.213424846067785
0,-1.0,-0.2324354041539651
0,-1.0,-0.2555373697855701
0,-1.0,-0.25854646256223884
0,-1.0,-0.25938323228244164
0,-1.0,-0.3187165045069574
0,-1.0,-0.12036339779966994
0,-1.0,-0.2923483010148787
0,0.0,0.35375663808285623
0,-1.0,-0.14790612455471777
0,-1.0,-0.09114310337220384
0,-1.0,-0.1641057088489102
0,-1.0,-0.23763496986030497
0,-1.0,-0.12116426664588237
0,0.0,0.4886173977084648
0,-1.0,-0.2725323213482796
0,0.0,0.39877643540340874
0,-1.0,-0.08749809092218298
0,-1.0,-0.28322948461790587
0,-1.0,-0.35058477835236385
0,0.0,0.462591608059799
0,-1.0,-0.29619996629263196
0,-1.0,-0.4025462894342356
0,-1.0,-0.22530937608187548
0,-1.0,-0.1708200914374341
0,-1.0,-0.23167971137076734
0,-1.0,-0.21610434363425993
0,-1.0,-0.1933010729481741
0,-1.0,-0.3730298829817484
0,-1.0,-0.3097799978972013
0,-1.0,-0.2090219974363973
0,-1.0,-0.10454862294890713
0,-1.0,-0.23399537286039754
0,-1.0,-0.14292629562932135
0,0.0,0.36126686563755167
0,-1.0,-0.18367774664106998
0,-1.0,-0.177576792033676
0,0.0,0.4261483956313527
0,-1.0,-0.5153607877918015
0,-1.0,-0.1563096895903969
0,-1.0,-0.3995937672092798
0,-1.0,-0.328752293237114
0,-1.0,-0.14914024157562275
0,-1.0,-0.1816170892164269
0,0.0,0.27553149400431004
0,-1.0,-0.12457507592782875
0,-1.0,-0.2642734341235855
0,-1.0,-0.1475631470899935
0,-1.0,-0.24315770025122574
0,-1.0,-0.4007470843976097
0,-1.0,-0.11926180145701226
0,-1.0,-0.4401020253464896
0,0.0,0.4424340767052484
0,-1.0,-0.2147325996348124
0,-1.0,-0.20137633797066723
0,-1.0,-0.291793757187298
0,-1.0,-0.1413277750262019
0,-1.0,-0.07896105365496033
0,-1.0,-0.19752478119995523
0,-1.0,-0.4550089285941634
0,-1.0,-0.3379720611003587
0,-1.0,-0.11649119340255852
0,-1.0,-0.2881286552513397
0,-1.0,-0.26643152695345707
0,-1.0,-0.09844581756480607
0,-1.0,-0.25012749612842344
0,-1.0,-0.407086662863358
0,-1.0,-0.21013495466313278
0,0.0,0.36216897359700806
0,-1.0,-0.1466619708827517
0,-1.0,-0.34730123486237346
0,-1.0,-0.2944207534873945
0,0.0,0.3630534871573563
0,-1.0,-0.13100279476025106
0,-1.0,-0.3014166861616611
0,-1.0,-0.08299945215561574
0,-1.0,-0.08659352367643289
0,-1.0,-0.23311392954250376
0,-1.0,-0.14213258204737553
0,-1.0,-0.305789616735682
0,-1.0,-0.4494609560339848
0,-1.0,-0.09146645372996985
0,-1.0,-0.42480976755844
0,-1.0,-0.4951349668406573
0,-1.0,-0.1294852085627105
